,tt,type,ru,,
,keçeräyü,nonetype,уменьшиться ,,
,Simeon Bikbulatoviç,nonetype,Саин-Булат ,,
,мәгълүмат кыры,nonetype,поле данных ,,
,Көндәлек биремнәр исемлеге,nonetype,список задач на день ,,
,мәгълүмат ноктасы,nonetype,точка данных ,,
,Юникод,nonetype,Юникод ,,
,Päräwez,nonetype,Интернет ,,
,Веб,nonetype,Интернет ,,
,Интернет,nonetype,Интернет ,,
,веб,noun,Интернет ,,
,päräwez,nonetype,Интернет ,,
,Пәрәвез,nonetype,Интернет ,,
,интернет,noun,Интернет ,,
,киртек ярлыгы,nonetype,подпись деления ,,
,искәрмәләр бите,nonetype,страница заметок ,,
,ла-манш,nonetype,ла-манш ,,
,Vasili Blajenní Çirkäwe,nonetype,Покровский собор ,,
,taksitai,noun,речка ,,
,эзләгеч,nonetype,поисковая система ,,
,Olı Çirmeşän,nonetype,Большой Черемшан ,,
,бәйле шакмаклар,nonetype,зависимая ячейка ,,
,төймә,nonetype,кнопка ,,
,Төймә,nonetype,кнопка ,,
,реклама,noun,реклама ,,
,аеру,nonetype,открепить ,,
,том,noun,том ,,
,тавыш,noun,том ,,
,игътибар итмәү,nonetype,игнорировать ,,
,борырга,nonetype,вертеть ,,
,графика фильтры,nonetype,графический фильтр ,,
,билгеләмәләр,nonetype,определения ,,
,бавыр,noun,печень ,,
,bawır,nonetype,печень ,,
,Бавыр,nonetype,печень ,,
,интрачелтәр,nonetype,интрасеть ,,
,орфоэпия,nonetype,орфоэпия ,,
,Орфоэпия,nonetype,орфоэпия ,,
,африканц,nonetype,африкаанс ,,
,Африканц,nonetype,африкаанс ,,
,африкаанс,nonetype,африкаанс ,,
,Африканц,nonetype,африкаанс ,,
,яшерен текст,nonetype,скрытый текст ,,
,Bulgaria,nonetype,Болгария ,,
,Болгария,proper,Болгария ,,
,болгария,nonetype,Болгария ,,
,авыл,noun,село ,,
,awıl,nonetype,село ,,
,aвыл,nonetype,село ,,
,эчәк,nonetype,чрево ,,
,карын,noun,чрево ,,
,man,nonetype,мы ,,
,maʼe-,nonetype,мы ,,
,mimahuk,nonetype,мы ,,
,waʼe-,nonetype,мы ,,
,keçkenä,nonetype,маленький ,,
,кече,adjective,маленький ,,
,кечкенә,adjective,маленький ,,
,бәләкәй,adjective,маленький ,,
,кечек,adjective,маленький ,,
,керү ноктасы,nonetype,точка доступа ,,
,конфуций,nonetype,конфуций ,,
,грузия,nonetype,грузия ,,
,Грузия,proper,грузия ,,
,Гөрҗистан,proper,грузия ,,
,Kanton,nonetype,Гуанчжоу ,,
,мәгълүмат эшкәртүне туктату,nonetype,предотвращение выполнения данных ,,
,кыска,adjective,краткий ,,
,үрнәк бит,nonetype,главная страница ,,
,сопроцессор,nonetype,сопроцессор ,,
,электрон почта,nonetype,электронная почта ,,
,электрон хәбәр җибәрү,nonetype,электронная почта ,,
,композитор,noun,композитор ,,
,көйязар,nonetype,композитор ,,
,Oluğ Möxämmäd,nonetype,Улу-Мухаммед ,,
,volt,noun,вольт ,,
,Вольт,nonetype,вольт ,,
,вольт,nonetype,вольт ,,
,имәргә,nonetype,сосать ,,
,Тиздән кайтам,nonetype,Скоро вернусь ,,
,ук сулга,nonetype,стрелка влево ,,
,процессор,noun,процессор ,,
,Sierra Leone,proper,Сьерра-Леоне ,,
,Чыганаклар диспетчеры,nonetype,диспетчер источников ,,
,кодлар бите,nonetype,кодовая страница ,,
,lamantin,nonetype,ламантин ,,
,сайлау төймәсе,nonetype,переключатель ,,
,li-,nonetype,коли ,,
,эчке сайлак,nonetype,вложенное меню ,,
,ачылучан сайлак,nonetype,вложенное меню ,,
,Küçüm,nonetype,Кучум ,,
,кояш чыгу,nonetype,восход ,,
,Almania,nonetype,Германия ,,
,Алмания,proper,Германия ,,
,Älmäniä,nonetype,Германия ,,
,алмания,nonetype,Германия ,,
,багана башламы,nonetype,заголовок столбца ,,
,Омоним,nonetype,омоним ,,
,омоним,nonetype,омоним ,,
,омонимнар,nonetype,омоним ,,
,тамыр каталог,nonetype,корневой каталог ,,
,аристотель,nonetype,аристотель ,,
,гомум каталог серверы,nonetype,сервер глобального каталога ,,
,xaywan,noun,тварь ,,
,хайван,noun,тварь ,,
,челтәр,noun,сетка ,,
,hohiye,nonetype,снег ,,
,сакланган процедура,nonetype,хранимая процедура ,,
,Räsäy,nonetype,Россия ,,
,Rusiä,nonetype,Россия ,,
,Русия,proper,Россия ,,
,Россия,proper,Россия ,,
,Рәсәй,proper,Россия ,,
,русия,nonetype,Россия ,,
,тамга стиле,nonetype,стиль знака ,,
,ley,nonetype,тут ,,
,newa,nonetype,тут ,,
,ney,nonetype,тут ,,
,монтажлау нокталары,nonetype,точки монтажа ,,
,почта адресы,nonetype,почтовый адрес ,,
,структура,noun,структура ,,
,конфигурация,nonetype,структура ,,
,план,nonetype,структура ,,
,схема,nonetype,структура ,,
,төзелеш,noun,структура ,,
,чыгыш хәбәр,nonetype,структура ,,
,сыгылмалы диск драйверы,nonetype,дисковод гибких дисков ,,
,Уйнатыла,nonetype,проигрывается ,,
,шудыру,nonetype,сдвиг ,,
,шуыштыру,nonetype,сдвиг ,,
,шалтырату,nonetype,сдвиг ,,
,санлы төймәсар,nonetype,цифровая клавиатура ,,
,тавышны киметү,nonetype,отключить звук ,,
,прага,nonetype,прага ,,
,Praga,proper,прага ,,
,Прага,proper,прага ,,
,суалчан вирус,nonetype,вирус-червь ,,
,санак-санак челтәре,nonetype,сеть "ad hoc" ,,
,сайлауны сорау,nonetype,запрос на выборку ,,
,җиһаз төзексезлеге,nonetype,сбой оборудования ,,
,палеолит,nonetype,палеолит ,,
,Qazan Kremle,nonetype,Казанский кремль ,,
,үтерергә,nonetype,убить ,,
,üterergä,nonetype,убить ,,
,үтер,verb,убить ,,
,maqiga,nonetype,лес ,,
,tahka,nonetype,лес ,,
,электроскоп,nonetype,электроскоп ,,
,çuaş tele,nonetype,Чувашский ,,
,Çuaş tele,nonetype,Чувашский ,,
,дөреслек күрсәткече,nonetype,величина достоверности аппроксимации ,,
,Rus,noun,русские ,,
,Urıs,noun,русские ,,
,Рус,proper,русские ,,
,Урыс,proper,русские ,,
,Urıs xalqı,nonetype,русские ,,
,äläm,nonetype,флаг ,,
,байрак,noun,флаг ,,
,тамга,nonetype,флаг ,,
,тамга кую,nonetype,флаг ,,
,әләм,noun,флаг ,,
,эчке объект,nonetype,встроенный объект ,,
,кулон,noun,кулон ,,
,Кулон,nonetype,кулон ,,
,алыштыр,verb,заменить ,,
,алыштыру,nonetype,заменить ,,
,Minzälä,nonetype,Мензелинск ,,
,процент тамгасы,nonetype,символ процента ,,
,конфигурация,nonetype,макет ,,
,макет,noun,макет ,,
,план,nonetype,макет ,,
,структура,nonetype,макет ,,
,схема,nonetype,макет ,,
,бөтен сан,nonetype,целое число ,,
,Челтәрсыман диаграмма,nonetype,сетевой график ,,
,төсле басак,nonetype,цветной принтер ,,
,тел пакеты,nonetype,языковой пакет ,,
,бавыр,noun,печёнка ,,
,серсүз ярдәмендә чынлык тикшерүнең таратылган ысулы,nonetype,распределенное подтверждение паролей ,,
,бәйләргә,nonetype,связывать ,,
,бәйлә,verb,связывать ,,
,сылтама,nonetype,связывать ,,
,тоташтыру,nonetype,связывать ,,
,көнчыгыш африка,nonetype,восточная африка ,,
,хәбәрләр өлкәсе,nonetype,область уведомлений ,,
,алабуга,noun,окунь ,,
,nobel büläge,nonetype,нобелевская премия ,,
,Nobel büläge,nonetype,нобелевская премия ,,
,үтерергә,nonetype,убивать ,,
,üterergä,nonetype,убивать ,,
,үтер,verb,убивать ,,
,эшне тәмамлау,nonetype,завершение работы ,,
,Интернет хезмәте күрсәтүче,nonetype,поставщик услуг Интернета ,,
,хезмәт күрсәтүче,nonetype,поставщик услуг Интернета ,,
,Texel utırawında Görcälär fetnäse,nonetype,Грузинское восстание на острове Тексел ,,
,Эчтәлек,nonetype,Содержимое ,,
,эчтәлек,noun,Содержимое ,,
,ислам,nonetype,ислам ,,
,Ислам,noun,ислам ,,
,Íslam,nonetype,ислам ,,
,Ислам,proper,ислам ,,
,коста-рика,nonetype,коста-рика ,,
,Qaşan,nonetype,Кашан ,,
,шәхси идентификация номеры,nonetype,персональный идентификационный номер ,,
,мәсьәләләр аслыгы,nonetype,панель задач ,,
,курку,noun,бояться ,,
,куркырга,nonetype,бояться ,,
,Qırım Tatarları,nonetype,Крымские татары ,,
,көрдләр,nonetype,курды ,,
,Möxämmädämin,nonetype,Мухаммед-Амин ,,
,otoʼ,nonetype,лист ,,
,brown universitetı,nonetype,брауновский университет ,,
,Brown universitetı,nonetype,брауновский университет ,,
,төньяк котып,nonetype,северный полюс ,,
,Éstonia,proper,Эстония ,,
,Estoniä,nonetype,Эстония ,,
,Éstoniä,nonetype,Эстония ,,
,Эстония,proper,Эстония ,,
,estoniä,nonetype,Эстония ,,
,күз,noun,глаз ,,
,küz,nonetype,глаз ,,
,Күз,nonetype,глаз ,,
,parlament,nonetype,парламент ,,
,мәҗлис,nonetype,парламент ,,
,парламент,noun,парламент ,,
,İdel buyı Bolğar däwläte,nonetype,Волжская Булгария ,,
,бер,determiner,один ,,
,ялгыз,adjective,один ,,
,asteroidlar,nonetype,астероид ,,
,Астероид,nonetype,астероид ,,
,архив,noun,архив ,,
,архивлау,nonetype,архив ,,
,штрих-код,nonetype,штрихкод ,,
,тынычлык өчен нобель премиясе,nonetype,нобелевская премия мира ,,
,әрмәни,adjective,армянский ,,
,чынаяк,noun,чаша ,,
,qäsä,noun,чаша ,,
,çınayaq,noun,чаша ,,
,касә,nonetype,чаша ,,
,кәсә,nonetype,чаша ,,
,табак,noun,чаша ,,
,чашка,nonetype,чаша ,,
,чынаяк,nonetype,чаша ,,
,кораллар аслыгы,nonetype,панель инструментов ,,
,ливан,nonetype,ливан ,,
,Ливан,proper,ливан ,,
,дымлы,adjective,мокрый ,,
,юеш,adjective,мокрый ,,
,аяк,noun,стопа ,,
,күңел ачу элементларын кулланып өйрәнү,nonetype,обучение с элементами развлечения ,,
,Совет Социалистик Республикалар Союзы,proper,Союз Советских Социалистических Республик ,,
,Sovetlar Berlege,nonetype,Союз Советских Социалистических Республик ,,
,sovet sosialist cömhüriätlär berlege,nonetype,Союз Советских Социалистических Республик ,,
,Куллану шартлары,nonetype,Условия использования ,,
,хезмәт күрсәтүче,nonetype,поставщик услуг ,,
,чәч,noun,волосы ,,
,кыл,verb,волосы ,,
,hala,nonetype,приходить ,,
,hi,nonetype,приходить ,,
,ho,nonetype,приходить ,,
,ile,nonetype,приходить ,,
,la,nonetype,приходить ,,
,qala,nonetype,приходить ,,
,hewa,nonetype,там ,,
,kowa,nonetype,там ,,
,yaq,nonetype,там ,,
,пыяла,nonetype,стеклянное окно ,,
,Резистор,nonetype,резистор ,,
,резистор,noun,резистор ,,
,гиппопотам,noun,гиппопотам ,,
,су сыеры,noun,гиппопотам ,,
,су үгезе,noun,гиппопотам ,,
,титан,noun,титан ,,
,Титан,nonetype,титан ,,
,дүшәмбе,noun,понедельник ,,
,düşämbe,noun,понедельник ,,
,kämal,nonetype,понедельник ,,
,дүшәмбе düşämbe دۈشەمبې,nonetype,понедельник ,,
,دۈشەمبې,nonetype,понедельник ,,
,Düşämbe,nonetype,понедельник ,,
,Чиксезлек,nonetype,бесконечность ,,
,чиксезлек,nonetype,бесконечность ,,
,дәрәҗәсен киметү,nonetype,понизить ,,
,Esto-Sadok,nonetype,Эсто-Садок ,,
,Mingrellär,nonetype,Мегрелы ,,
,сэг,noun,собака ,,
,керү коды,nonetype,код доступа ,,
,yaramağan eş,noun,оплошность ,,
,серсүз урлау программасы,nonetype,программа для кражи паролей ,,
,Мозаика,nonetype,мозаика ,,
,мозаика өлеше,nonetype,мозаика ,,
,бу,pronoun,эта ,,
,Aqyar,nonetype,Севастополь ,,
,Акъяр,nonetype,Севастополь ,,
,тоз,noun,соль ,,
,toz,noun,соль ,,
,Windows'ны урнаштыру программасы,nonetype,программа установки Windows ,,
,җөмһүрият,noun,республика ,,
,республика,noun,республика ,,
,әкрен,adverb,нежно ,,
,Azerbaycan,nonetype,азербайджанский ,,
,азербайджан,proper,азербайджанский ,,
,азербайджан теле,nonetype,азербайджанский ,,
,Азербайджан,nonetype,азербайджанский ,,
,Азербайджан,nonetype,азербайджанский ,,
,уругвай,nonetype,уругвай ,,
,Уругвай,proper,уругвай ,,
,өстәү,nonetype,вставка ,,
,ташларга,nonetype,швырять ,,
,хисап төре,nonetype,тип отчета ,,
,һәйкәл,noun,памятник ,,
,Һәйкәл,nonetype,памятник ,,
,DNS-исем,nonetype,наклейка ,,
,тамга,nonetype,наклейка ,,
,тамга салу,nonetype,наклейка ,,
,тамгалау,nonetype,наклейка ,,
,водород,noun,водород ,,
,Водород,nonetype,водород ,,
,көл,verb,пепел ,,
,Документларны рецензияләү,nonetype,рецензирование документов ,,
,сугышырга,nonetype,биться ,,
,сугыш,verb,биться ,,
,-ya,nonetype,возле ,,
,оклахома,nonetype,оклахома ,,
,килешенгәнчә кыйммәт,nonetype,значение по умолчанию ,,
,килешкәнчә,nonetype,значение по умолчанию ,,
,өстәмә төймәсар,nonetype,дополнительная клавиатура ,,
,гален,nonetype,гален ,,
,русия,nonetype,россия ,,
,Räsäy,nonetype,россия ,,
,Rusiä,nonetype,россия ,,
,Русия,proper,россия ,,
,Россия,proper,россия ,,
,Рәсәй,proper,россия ,,
,документ элементы,nonetype,элемент документа ,,
,зурайту,nonetype,увеличить ,,
,зурайт,verb,увеличить ,,
,зурайтырга,nonetype,увеличить ,,
,якынайту,nonetype,увеличить ,,
,куян,noun,русак ,,
,украина,nonetype,украинский ,,
,Украина,proper,украинский ,,
,Украина,proper,украинский ,,
,гадәти текст,nonetype,обычный текст ,,
,начар,adjective,плохой ,,
,яман,adjective,плохой ,,
,начарлык,noun,плохой ,,
,Хорват,proper,хорватский ,,
,xorvat,nonetype,хорватский ,,
,Хорват,proper,хорватский ,,
,квадрат,noun,квадрат ,,
,үтмәс,nonetype,тупой ,,
,натрий,nonetype,натрий ,,
,Натрий,nonetype,натрий ,,
,Акварель,nonetype,акварель ,,
,өзү,nonetype,отключить ,,
,тулысынча бетерү,nonetype,отключить ,,
,estoniä,nonetype,эстония ,,
,Éstonia,proper,эстония ,,
,Estoniä,nonetype,эстония ,,
,Éstoniä,nonetype,эстония ,,
,Эстония,proper,эстония ,,
,Символлар таблицасы,nonetype,таблица символов ,,
,символлар таблицасы,nonetype,таблица символов ,,
,максат кыйммәт,nonetype,целевое значение ,,
,прайс-бит,nonetype,прайс-лист ,,
,bush,nonetype,круглый ,,
,walikaskunq,nonetype,круглый ,,
,язма тартмасы,nonetype,контейнер для заметок ,,
,ena,nonetype,та ,,
,heke,nonetype,та ,,
,hekin,nonetype,та ,,
,yukan,nonetype,та ,,
,bisoka,nonetype,рыба ,,
,wihoq,nonetype,рыба ,,
,яктылык каймасы,nonetype,свечение ,,
,теге,pronoun, determiner,тот ,,
,шул,determiner,тот ,,
,ул,pronoun,тот ,,
,бусы,nonetype,тот ,,
,симфония,nonetype,симфония ,,
,Симфония,nonetype,симфония ,,
,гаилә,noun,семья ,,
,семья,nonetype,семья ,,
,шәхси саклагыч,nonetype,личное хранилище ,,
,кыскача биография,nonetype,резюме ,,
,резюме,nonetype,резюме ,,
,*ske,nonetype,держать ,,
,Törkiä,nonetype,Турция ,,
,Төркия,proper,Турция ,,
,төркия,nonetype,Турция ,,
,Boris Yeltsin,nonetype,Борис Николаевич Ельцин ,,
,Kamil İsxaqov,nonetype,Камиль Шамильевич Исхаков ,,
,күчермәләү,nonetype,копировать ,,
,үрнәк форма,nonetype,образец фигуры ,,
,Dekäber,nonetype,Декабрь ,,
,dekäber,proper,Декабрь ,,
,декабрь,noun,Декабрь ,,
,фтор,noun,фтор ,,
,Фтор,nonetype,фтор ,,
,гуманитар фәннәр,nonetype,гуманитарные науки ,,
,кредит картасы,nonetype,кредитная карта ,,
,төс тапшыру сыйфаты,nonetype,качество цветопередачи ,,
,өскорма,nonetype,надстройка ,,
,ташларга,nonetype,кидать ,,
,хокук,noun,право ,,
,Хаклар,nonetype,право ,,
,канун,nonetype,право ,,
,хак,noun,право ,,
,Röstäm Miñnexanov,nonetype,Рустам Нургалиевич Минниханов ,,
,сөзгеч кыры,nonetype,поле фильтра ,,
,Мәгълүмат,nonetype,о программе ,,
,Программа турында,nonetype,о программе ,,
,бала,noun,дитя ,,
,бәби,noun,дитя ,,
,бәбәй,noun,дитя ,,
,сабый,noun,дитя ,,
,версияләр тарихы,nonetype,журнал версий ,,
,töpe,noun,вершина ,,
,төпе,nonetype,вершина ,,
,тәг,nonetype,тег ,,
,тәг кую,nonetype,тег ,,
,калим,noun,покой ,,
,бүлмә,noun,покой ,,
,тынгы,noun,покой ,,
,тынлык,noun,покой ,,
,Täñre,nonetype,Тенгри ,,
,Лемма,nonetype,лемма ,,
,лемма,nonetype,лемма ,,
,төп сүз,nonetype,ключевое слово ,,
,гади горизонталь вакланма,nonetype,горизонтальная простая дробь ,,
,париж,nonetype,париж ,,
,Париж,proper,париж ,,
,Paris,proper,париж ,,
,монтенегро,nonetype,черногория ,,
,Монтенегро,proper,черногория ,,
,автор хокугы тамгасы,nonetype,символ авторского права ,,
,Säqlab,nonetype,Сакалиба ,,
,Тигезләмә,nonetype,Формула ,,
,формула,noun,Формула ,,
,бит параметрлары,nonetype,параметры страницы ,,
,Тупланулы гистограмма,nonetype,линейчатая диаграмма с накоплением ,,
,Иснәучелек,nonetype,фетишизм ,,
,фетишизм,noun,фетишизм ,,
,барбадос,nonetype,барбадос ,,
,Grünwald suğışı,nonetype,Грюнвальдская битва ,,
,тоташу чаты,nonetype,стыковочный узел ,,
,язма,noun,запись ,,
,кертү,nonetype,запись ,,
,amerika quşma ştatları,nonetype,соединённые штаты америки ,,
,Amerika Quşma Ştatları,nonetype,соединённые штаты америки ,,
,Америка Кушма Штатлары,nonetype,соединённые штаты америки ,,
,калифорния,nonetype,калифорния ,,
,Калифорния,proper,калифорния ,,
,таләп кую,nonetype,результирующий набор ,,
,домен контроллеры,nonetype,контроллер домена ,,
,дания,nonetype,дания ,,
,Дания,proper,дания ,,
,Daniä,nonetype,дания ,,
,Web Part зонасы,nonetype,зона веб-частей ,,
,керү хокукы,nonetype,права доступа ,,
,модаль диалог тәрәзе,nonetype,модальное диалоговое окно ,,
,belmim,Phrase,не знаю ,,
,Мальдивалар,proper,Мальдивы ,,
,мальдивлар,nonetype,Мальдивы ,,
,имза,nonetype,сигнатура ,,
,чакыру,nonetype,командная строка ,,
,команда юлы,nonetype,командная строка ,,
,тәкъдим,nonetype,командная строка ,,
,нил,nonetype,нил ,,
,Нил,proper,нил ,,
,802.1X,nonetype,стандарт безопасности 802.1X ,,
,лос-анджелес,nonetype,лос-анджелес ,,
,Tehran,proper,Тегеран ,,
,Техран,proper,Тегеран ,,
,тәһран,nonetype,Тегеран ,,
,йәмән,nonetype,йемен ,,
,Йәмән,proper,йемен ,,
,Монголия,proper,Монголия ,,
,монголия,nonetype,Монголия ,,
,UTC,nonetype,Всемирное координированное время ,,
,сиксән,determiner,восемьдесят ,,
,Кешеләр,nonetype,Люди ,,
,халык,nonetype,Люди ,,
,адәм,noun,Люди ,,
,инсан,nonetype,Люди ,,
,кеше,noun,Люди ,,
,кешеләр,nonetype,Люди ,,
,платон,nonetype,платон ,,
,тоткарлык,noun,задержка ,,
,яшерен халәт,nonetype,задержка ,,
,икмәк,noun,хлеб ,,
,ашлык,noun,хлеб ,,
,ипи,noun,хлеб ,,
,Ипи,nonetype,хлеб ,,
,иген,noun,хлеб ,,
,Zöyä,nonetype,Свияжск ,,
,схема,noun,схема ,,
,картада табу,nonetype,схема ,,
,Ernest Muldaşev,nonetype,Эрнст Рифгатович Мулдашев ,,
,Cir,proper,Земля ,,
,жир,nonetype,Земля ,,
,Җир,proper,Земля ,,
,җир,noun,Земля ,,
,туфрак,noun,Земля ,,
,-стан,nonetype,Земля ,,
,ил,noun,Земля ,,
,Спорт таблосы,nonetype,спортивное табло ,,
,автомобиль,noun,автомобиль ,,
,Автомобиль,nonetype,автомобиль ,,
,арба,nonetype,автомобиль ,,
,машина,noun,автомобиль ,,
,mini,nonetype,нога ,,
,yeksa,nonetype,нога ,,
,язма,nonetype,личное сообщение ,,
,сулдан уңга язулы,nonetype,слева направо ,,
,телевидение,noun,телевидение ,,
,Телевидение,nonetype,телевидение ,,
,пирамидаль диаграмма,nonetype,пирамидальная схема ,,
,хезмәт,noun,сервис ,,
,вырасту,nonetype,вырасту ,,
,әни,noun,мама ,,
,Әни,nonetype,мама ,,
,ана,noun,мама ,,
,әнкә,noun,мама ,,
,әнкәй,noun,мама ,,
,моя зеленая улица,nonetype,моя зеленая улица ,,
,почта ябыштырмасы,nonetype,почтовая наклейка ,,
,beläzek,nonetype,браслет ,,
,беләзек,noun,браслет ,,
,ноль,Cardinal number,ноль ,,
,nol,Cardinal number,ноль ,,
,нуль,determiner,ноль ,,
,Quçqar,nonetype,Овен ,,
,Кучкар,nonetype,Овен ,,
,кучкар,noun,Овен ,,
,хәмәл йолдызлыгы,nonetype,Овен ,,
,көчкә,nonetype,еле ,,
,чак,nonetype,еле ,,
,исем,noun,имя ,,
,ат,noun,имя ,,
,Кубрәк,nonetype,дополнительно ,,
,Кубрәк,nonetype,дополнительно ,,
,глория,nonetype,глория ,,
,Глория,nonetype,глория ,,
,бакыр,noun,медь ,,
,baqır,noun,медь ,,
,Бакыр,nonetype,медь ,,
,алар,pronoun,они ,,
,alar,nonetype,они ,,
,ул,pronoun,они ,,
,поши,nonetype,лось ,,
,Поши,nonetype,лось ,,
,обсерватория,nonetype,обсерватория ,,
,алу,nonetype,вычитать ,,
,кош,noun,пташка ,,
,төен,nonetype,узел ,,
,төп санак,nonetype,узел ,,
,төркия,nonetype,турция ,,
,Törkiä,nonetype,турция ,,
,Төркия,proper,турция ,,
,Çıñğız xan,nonetype,Чингисхан ,,
,Чыңгыз хан,proper,Чингисхан ,,
,çıñğız xan,nonetype,Чингисхан ,,
,турбулент тизлек,nonetype,турбулентная скорость ,,
,Олимпия уеннары,nonetype,олимпиада ,,
,Olímpia Uyınnarı,proper,олимпиада ,,
,олимпиада,noun,олимпиада ,,
,искәрмә тамгасы,nonetype,знак примечания ,,
,ай,noun,месяц ,,
,Ай,proper,месяц ,,
,Ay,nonetype,месяц ,,
,ay,nonetype,месяц ,,
,хисап язмалары диспетчеры,nonetype,менеджер по работе с партнерами ,,
,handon,nonetype,гад ,,
,wagen,nonetype,гад ,,
,мадагаскар,nonetype,мадагаскар ,,
,pennsylvania universitetı,nonetype,пенсильванский университет ,,
,Pennsylvania universitetı,nonetype,пенсильванский университет ,,
,тоташу төре,nonetype,тип соединения ,,
,Яңарту,nonetype,обновлять ,,
,яңарту,nonetype,обновлять ,,
,яңартырга,nonetype,обновлять ,,
,ватт,nonetype,ватт ,,
,компиляцияләү,nonetype,компилировать ,,
,Sişämbe,nonetype,Вторник ,,
,сишәмбе,noun,Вторник ,,
,sişämbe,noun,Вторник ,,
,кич,verb,переходить ,,
,күч,verb,переходить ,,
,күчү,nonetype,переходить ,,
,әгәр,conjunction,коли ,,
,-са,nonetype,коли ,,
,-сә,nonetype,коли ,,
,Төп исем,nonetype,основное название ,,
,катнашучы,noun,участник ,,
,өлеш кертүче,nonetype,участник ,,
,калын,adjective,толстый ,,
,таза,adjective,толстый ,,
,юан,adjective,толстый ,,
,биредә,nonetype,тут ,,
,бу җирдә,nonetype,тут ,,
,монда,nonetype,тут ,,
,үзлекләр бите,nonetype,страница свойств ,,
,үзлекләр салынмасы,nonetype,страница свойств ,,
,сулга тигезләү,nonetype,выровнять по левому краю ,,
,Баланс,nonetype,Баланс ,,
,xaywan,noun,скотина ,,
,сыер,noun,скотина ,,
,хайван,noun,скотина ,,
,чалма,nonetype,тюрбан ,,
,Чалма,nonetype,тюрбан ,,
,мәгълүмат рәте,nonetype,ряд данных ,,
,Qaragruhçılar,nonetype,Черносотенцы ,,
,Batí xan,nonetype,Батый ,,
,Бату,nonetype,Батый ,,
,күсе,noun,крыса ,,
,масштаблау,nonetype,масштабировать ,,
,буш түгел,nonetype,занято ,,
,көнчыгыш аурупа,nonetype,восточная европа ,,
,чыбыксыз,nonetype,беспроводной ,,
,чакыру,nonetype,вызов ,,
,шалтырату,nonetype,вызов ,,
,шуыштыру,nonetype,вызов ,,
,Тоныкландыру,nonetype,прозрачность ,,
,үтә күренмәлелек,nonetype,прозрачность ,,
,буш тугел,nonetype,Занят ,,
,буш түгел,nonetype,Занят ,,
,аңлатма,nonetype,выписка ,,
,оператор,nonetype,выписка ,,
,резерв күчермә,nonetype,резервная копия ,,
,австрия,nonetype,австрия ,,
,Austria,proper,австрия ,,
,Австрия,proper,австрия ,,
,озынлык,noun,длина ,,
,ozınlıq,noun,длина ,,
,буй,noun,длина ,,
,*su,nonetype,семя ,,
,do,nonetype,семя ,,
,Ялганган,nonetype,в сети ,,
,куллануга әзер,nonetype,в сети ,,
,тоташкан,nonetype,в сети ,,
,челтәрдә,nonetype,в сети ,,
,хаҗ,noun,хадж ,,
,шина,nonetype,шина ,,
,килешкәнчә кулланылучы төймә,nonetype,кнопка, используемая по умолчанию ,,
,кластер,nonetype,единица размещения ,,
,алмания,nonetype,германия ,,
,Almania,nonetype,германия ,,
,Алмания,proper,германия ,,
,Älmäniä,nonetype,германия ,,
,tokenaq,nonetype,когда ,,
,португал,proper,португальский ,,
,Португал,nonetype,португальский ,,
,Португал,nonetype,португальский ,,
,go,nonetype,давать ,,
,ogo,nonetype,давать ,,
,Тамга тану клиенты,nonetype,клиент распознавания знаков ,,
,парагвай,nonetype,парагвай ,,
,Парагвай,proper,парагвай ,,
,дус,noun,подруга ,,
,dus,noun,подруга ,,
,аркадаш,nonetype,подруга ,,
,әшнә,nonetype,подруга ,,
,поляк,proper,польский ,,
,Поляк,nonetype,польский ,,
,Поляк,nonetype,польский ,,
,kilometr,noun,километр ,,
,километр,noun,километр ,,
,Kuybışev susaqlağıçı,nonetype,Куйбышевское водохранилище ,,
,реестр,nonetype,реестр ,,
,Windows проблемалары турында хисап,nonetype,отчеты о проблемах Windows ,,
,Тоткарлау,nonetype,состояние удержания ,,
,Access Services,nonetype,службы Access ,,
,өстенә язу,nonetype,заменять ,,
,Македониан,nonetype,Македонский ,,
,Македониан,nonetype,Македонский ,,
,тигезлек тамгасы,nonetype,знак равенства ,,
,baldaq,noun,перстень ,,
,yözek,noun,перстень ,,
,йөзек,noun,перстень ,,
,балдак,nonetype,перстень ,,
,Тутырырга,nonetype,замостить ,,
,мозаика өлеше,nonetype,замостить ,,
,Алгы бит,nonetype,Главная ,,
,Төп,nonetype,Главная ,,
,Төп бүлеккә,nonetype,Главная ,,
,yalğan,noun,ложь ,,
,yalğanlıq,noun,ложь ,,
,алдак,nonetype,ложь ,,
,ялган,noun,ложь ,,
,ялганлык,nonetype,ложь ,,
,бәй,nonetype,привязка ,,
,бәйләгеч,nonetype,привязка ,,
,коралларның мини-аслыгы,nonetype,мини-панель инструментов ,,
,этәргә,nonetype,пихать ,,
,Машинкада басылган,nonetype,машинописный ,,
,миллион,Cardinal number, determiner,миллион ,,
,million,numeral,миллион ,,
,адресларның тулы исемлеге,nonetype,глобальный список адресов ,,
,имин язма,nonetype,защищенная заметка ,,
,күренүчәнлек,nonetype,видимость ,,
,Кытай,noun,китайский язык ,,
,кытай теле,nonetype,китайский язык ,,
,opa,nonetype,ходить ,,
,yala,nonetype,ходить ,,
,теософия,noun,теософия ,,
,borın,noun,нос ,,
,борын,noun,нос ,,
,танау,noun,нос ,,
,томшык,nonetype,нос ,,
,таҗикстан,nonetype,таджикистан ,,
