,cv,type,ru,,
,çĕр,nonetype,земной ,,
,çивитти,nonetype,скатерть ,,
,витĕ,nonetype,скатерть ,,
,ейме,noun,скатерть ,,
,сĕтел çитти,nonetype,скатерть ,,
,сарма,nonetype,скатерть ,,
,çимĕç,nonetype,продукты ,,
,çиме,nonetype,продукты ,,
,çит,nonetype,доходить ,,
,ҫит,verb,доходить ,,
,çителĕклĕ,nonetype,достаточно ,,
,çуртри,nonetype,находящийся в доме ,,
,çыпăç,nonetype,приклеиваться ,,
,тÿрлен,nonetype,исцеляться ,,
,тасал,nonetype,исцеляться ,,
,питĕ,nonetype,плотный ,,
,тачă,nonetype,плотный ,,
,тăрманланчăк,nonetype,взъерошенный ,,
,тăхăнтар,nonetype,одевать ,,
,тумлантар,verb,одевать ,,
,тепре,nonetype,еще раз ,,
,урăх,nonetype,еще раз ,,
,тĕкĕр,nonetype,зеркальный ,,
,тĕпчевçĕ,nonetype,ученый ,,
,тĕркĕш,nonetype,сутолока ,,
,тие,verb,нагружать ,,
,тирпейлĕ,nonetype,опрятный ,,
,туртса çур,nonetype,порвать ,,
,туртса тат,nonetype,порвать ,,
,тытма çÿре,nonetype,ловить ,,
,тытма??,nonetype,ловить ,,
,тыт,verb,ловить ,,
,улттӑ,determiner,шесть ,,
,улт,nonetype,шесть ,,
,улттă,nonetype,шесть ,,
,унта-кунта,nonetype,там и сям ,,
,çĕмрен,nonetype,стрела ,,
,ҫӗмрен,noun,стрела ,,
,Çĕмрен,nonetype,стрела ,,
,ухă йĕппи,nonetype,стрела ,,
,ÿпле,nonetype,укрытие упне вниз лицом ,,
,халалла,nonetype,высказывать пожелание ,,
,витре хăлăпĕ,nonetype,ведерная дужка ,,
,хăма,nonetype,тесина ,,
,хăпар,nonetype,двигаться ввысь ,,
,хӑвӑрт,adjective,быстрый ,,
,вăр-вар,nonetype,быстрый ,,
,йăлттам,nonetype,быстрый ,,
,хăпăл-хапăл,nonetype,быстрый ,,
,хытă,nonetype,быстрый ,,
,хăтар,nonetype,спасать ,,
,вут,noun,огонь ,,
,Çулăм,nonetype,огонь ,,
,çулам,nonetype,огонь ,,
,çутă,nonetype,огонь ,,
,вут-çулăм,nonetype,огонь ,,
,вут-кăвар,nonetype,огонь ,,
,кăвайт,nonetype,огонь ,,
,хĕм,nonetype,огонь ,,
,хĕрĕнкĕ,nonetype,подвыпивший ,,
,хĕрÿллĕ,nonetype,оживленно ,,
,ансăр,nonetype,тесный ,,
,тăвăр,nonetype,тесный ,,
,тачă,nonetype,тесный ,,
,хĕсĕк,nonetype,тесный ,,
,хирĕçÿлĕх,nonetype,противоречие ,,
,хисепле,nonetype,исчислять ,,
,аван,adjective,прекрасный ,,
,хитре,adjective,прекрасный ,,
,чипер,adjective,прекрасный ,,
,шеп,nonetype,прекрасный ,,
,кÿрентер,nonetype,огорчать ,,
,пăшăрхантар,nonetype,огорчать ,,
,хуйхăрт,nonetype,огорчать ,,
,хурлантар,nonetype,огорчать ,,
,канăçсăр,nonetype,тревожно ,,
,хумханчăк,nonetype,тревожно ,,
,чарусăр,nonetype,озорно ,,
,чăллан,nonetype,перепутываться ,,
,чÿхен,nonetype,плескаться ,,
,чăмпăлтат,nonetype,плескаться ,,
,шампăртат,nonetype,плескаться ,,
,тĕркĕш,nonetype,скандал ,,
,чăркăш,nonetype,скандал ,,
,чăт,nonetype,сдерживаться ,,
,чăх-чĕп,nonetype,домашняя птица ,,
,чĕн,nonetype,звать ,,
,йыхăр,nonetype,звать ,,
,йыхравла,nonetype,звать ,,
,чĕрçи,nonetype,колени ,,
,хисеп,noun,число ,,
,Хисеп,nonetype,число ,,
,числа,nonetype,число ,,
,шут,noun,число ,,
,шайла,verb,равнять ,,
,шампа,nonetype,налимий ,,
,шанăç,nonetype,доверие ,,
,шанчăк,nonetype,доверие ,,
,систер,verb,намекать ,,
,шахвăрт,nonetype,намекать ,,
,юптар,nonetype,намекать ,,
,шăн,nonetype,мерзлый ,,
,хĕрÿллĕ,nonetype,горячо ,,
,вĕри,nonetype,горячо ,,
,шăрăх,nonetype,горячо ,,
,шăрçа,nonetype,бусинка ,,
,шĕвел,nonetype,становиться жидким ,,
,иккĕлен,nonetype,сомневаться ,,
,шиклен,verb,сомневаться ,,
,ислен,nonetype,мокнуть ,,
,йĕпен,nonetype,мокнуть ,,
,шÿ,nonetype,мокнуть ,,
,аван,adjective,хорошо ,,
,лайăх,nonetype,хорошо ,,
,привет,nonetype,хорошо ,,
,путлĕ,nonetype,хорошо ,,
,чипер,adjective,хорошо ,,
,ырă,nonetype,хорошо ,,
,юрăхлă,nonetype,хорошо ,,
,юрать,adjective,хорошо ,,
,эппин,conjunction,следовательно ,,
,сав,verb,любить ,,
,кăмăлла,nonetype,любить ,,
,юрат,verb,любить ,,
,юхма,nonetype,течь ,,
,йăпăртат,nonetype,течь ,,
,юх,nonetype,течь ,,
,япала,noun,вещь ,,
,чуп,nonetype,кататься ,,
,ярăн,nonetype,кататься ,,
,кая,nonetype,меньше ,,
,кĕпшĕл,nonetype,сойка ,,
,килсе кĕр,nonetype,войти ,,
,кичем,adjective,тоскливый ,,
,салху,nonetype,тоскливый ,,
,салхуллă,nonetype,тоскливый ,,
,тунсăх,nonetype,тоскливый ,,
,кунтă,nonetype,кузовок ,,
,пурак,nonetype,кузовок ,,
,курнăç,nonetype,встречаться ,,
,кут,nonetype,комель ,,
,лапка-лапка,nonetype,крупными хлопьями ,,
,лаç,nonetype,летняя кухня ,,
,лĕкĕ,nonetype,накипь ,,
,кайранхи,nonetype,последующий ,,
,малалли,nonetype,последующий ,,
,йĕкĕр,nonetype,двойной ,,
,мăшăрлă,nonetype,двойной ,,
,месерле,nonetype,навзничь ,,
,Месек,nonetype,шутка ,,
,мыскара,adjective,шутка ,,
,шÿт,nonetype,шутка ,,
,нăйкăш,nonetype,плакса ,,
,аптăрат,nonetype,мучить ,,
,асаплантар,nonetype,мучить ,,
,муритле,nonetype,мучить ,,
,нушалантар,nonetype,мучить ,,
,тертлентер,nonetype,мучить ,,
,хăшкăлтар,nonetype,мучить ,,
,йĕпе,nonetype,влажно ,,
,нÿрĕ,nonetype,влажно ,,
,паллă,nonetype,оценка ,,
,пăхăнтар,nonetype,покорять ,,
,парăнтар,nonetype,покорять ,,
,паттăр,nonetype,мужественно ,,
,паха,nonetype,ценный ,,
,пăлхар,nonetype,болгар ,,
,Аслă Пăлхар,nonetype,болгар ,,
,пăрахăç,nonetype,негодность ,,
,пăшăлтат,nonetype,шептаться ,,
,перкелеш,nonetype,перестреливаться ,,
,пĕкĕ,nonetype,дуга ,,
,пĕрĕн,nonetype,морщиться ,,
,пĕркелен,nonetype,морщиться ,,
,пир,nonetype,полотно ,,
,пит-куç,nonetype,черты лица ,,
,пулă,noun,рыбный ,,
,пустав,nonetype,суконный ,,
,пуçтарăн,nonetype,собираться ,,
,хатĕрлен,nonetype,собираться ,,
,чăмăртан,nonetype,собираться ,,
,сăмса,nonetype,горбушка ,,
,сăранлан,nonetype,засалиться ,,
,сăхсăх,nonetype,креститься ,,
,сĕм,nonetype,чутье ,,
,сисĕм,nonetype,чутье ,,
,сĕтел-пукан,nonetype,мебельный ,,
,нÿрĕк,nonetype,влага ,,
,сĕткен,nonetype,влага ,,
,сивлек,nonetype,угрюмо ,,
,сиккипе,nonetype,галопом ,,
,сипле,nonetype,излечивать ,,
,сирешкел,nonetype,подобно вам ,,
,айăк,nonetype,бок ,,
,аяк,noun,бок ,,
,ен,noun,бок ,,
,кăрăс,nonetype,скудно ,,
,пурлă-çуклă,nonetype,скудно ,,
,кĕтмел,nonetype,брусника ,,
,кукăрăл,nonetype,горбиться ,,
,курпунлан,nonetype,горбиться ,,
,пĕкĕрĕл,nonetype,горбиться ,,
,кăшăл,nonetype,куча ,,
,купа,noun,куча ,,
,тĕмеске,nonetype,куча ,,
,курайманлăх,nonetype,ненависть ,,
,лавçă,nonetype,возчик ,,
,лапам,nonetype,лощина ,,
,ĕретсĕр,nonetype,непристойно ,,
,киревсĕр,nonetype,непристойно ,,
,латсăр,nonetype,непристойно ,,
,нĕрсĕр,nonetype,непристойно ,,
,лерен,nonetype,оттуда ,,
,унтан,nonetype,оттуда ,,
,мăйăх,nonetype,ус ,,
,мăшкăл,nonetype,стыд ,,
,намăс,nonetype,стыд ,,
,намăс-симĕс,nonetype,стыд ,,
,намăссăрлан,nonetype,стыд ,,
,наркăмăш,nonetype,яд ,,
,наркӑмӑш,nonetype,яд ,,
,ним,nonetype,нечего ,,
,ĕлĕк,nonetype,давно ,,
,нумайранпа,nonetype,давно ,,
,чылайранпа,nonetype,давно ,,
,нÿрĕк,nonetype,осадки ,,
,карт,nonetype,метка ,,
,паллă,nonetype,метка ,,
,парлак,nonetype,залеж ,,
,паха,nonetype,добротный ,,
,юрăхлă,nonetype,добротный ,,
,пăлхан,nonetype,волноваться ,,
,хумхан,verb,волноваться ,,
,пехил,nonetype,благословение ,,
,пил,nonetype,благословение ,,
,халал,noun,благословение ,,
,пĕçерт,nonetype,палить ,,
,пит,nonetype,лицевая сторона ,,
,тулаш,nonetype,лицевая сторона ,,
,пурăнма,nonetype,жить ,,
,пурӑн,verb,жить ,,
,пурăн,nonetype,жить ,,
,пустав,noun,сукно ,,
,сӑвӑр,nonetype,сурок ,,
,сăвăр,nonetype,сурок ,,
,сăрăлтат,nonetype,пробегать ,,
,сĕтеклентер,nonetype,придавать вкус ,,
,сивĕ,nonetype,мороз ,,
,тăм,nonetype,мороз ,,
,имле,nonetype,лечить ,,
,сипле,verb,лечить ,,
,эмелле,verb,лечить ,,
,кичемлен,nonetype,грустить ,,
,хурлан,nonetype,грустить ,,
,тăлăх,nonetype,вдова ,,
,хусах,nonetype,вдова ,,
,хÿтĕ,nonetype,укрытый ,,
,кăчăртат,nonetype,скрипеть ,,
,качăртат,nonetype,скрипеть ,,
,качăртаттар,nonetype,скрипеть ,,
,нăтăртат,nonetype,скрипеть ,,
,чĕриклет,nonetype,скрипеть ,,
,чакăртат,nonetype,скрипеть ,,
,капăр,nonetype,великолепно ,,
,чаплă,nonetype,великолепно ,,
,катрашка,nonetype,комок ,,
,муклашка,noun,комок ,,
,чăмак,nonetype,комок ,,
,чăмăрла,nonetype,в мундире ,,
,чăртмах,nonetype,невежа ,,
,чĕптĕм,nonetype,щепоть ,,
,чĕрне,nonetype,ногтевой ,,
,тÿрккес,nonetype,грубо ,,
,хăлăхсăр,nonetype,грубо ,,
,чурăс,nonetype,грубо ,,
,чăмăр,nonetype,кулак ,,
,чышкă,nonetype,кулак ,,
,шавлă,nonetype,шумливый ,,
,шапа,noun,жаба ,,
,ăшала,nonetype,жарить ,,
,шарикле,nonetype,жарить ,,
,шăвар,nonetype,поить ,,
,шăм-шак,nonetype,кости ,,
,шăплан,nonetype,затихать ,,
,шăран,nonetype,плавиться ,,
,пăрала,nonetype,сверлить ,,
,шăтар,nonetype,сверлить ,,
,хĕрхен,nonetype,сочувствовать ,,
,шелле,nonetype,сочувствовать ,,
,шуйттан,nonetype,дьявольский ,,
,шухăш,nonetype,мысль ,,
,шыçма,nonetype,отекать ,,
,кÿпче,nonetype,отекать ,,
,тăртан,nonetype,отекать ,,
,шыç,nonetype,отекать ,,
,эппин,nonetype,значит ,,
,юпă,nonetype,приток ,,
,юхан шыв,nonetype,речной ,,
,янăра,nonetype,раздаваться ,,
,купăста яшки,nonetype,щи ,,
,мĕлке,nonetype,тень ,,
,сулхăн,nonetype,тень ,,
,сÿт,nonetype,разбирать ,,
,сылтăмран,nonetype,справа ,,
,çав,nonetype,настолько ,,
,çак,nonetype,нацеплять ,,
,çаплах,nonetype,беспрестанно ,,
,çарат,nonetype,разорять ,,
,чухăнлат,nonetype,разорять ,,
,çăмăл,nonetype,ловкий ,,
,вăр-вар,nonetype,ловкий ,,
,çăткăнлан,nonetype,жадничать ,,
,сăхлан,nonetype,жадничать ,,
,çулçă,nonetype,лист ,,
,çулçа,nonetype,лист ,,
,çеçке,nonetype,лист ,,
,листа,nonetype,лист ,,
,ҫулҫӑ,nonetype,лист ,,
,çĕпре,nonetype,гуща ,,
,çиллес,nonetype,сердитый ,,
,хаяр,adjective,сердитый ,,
,ҫип,nonetype,нить ,,
,çип,nonetype,нить ,,
,çит,nonetype,доставать ,,
,тив,nonetype,доставать ,,
,тиверт,nonetype,доставать ,,
,çулăх,nonetype,приставать ,,
,çыпăç,nonetype,приставать ,,
,ер,verb,приставать ,,
,çунат,nonetype,крылья ,,
,çураç,nonetype,мириться ,,
,çырлах,nonetype,мириться ,,
,мирлеш,nonetype,мириться ,,
,çиç,nonetype,сверкать ,,
,çутал,nonetype,сверкать ,,
,йăлкăш,nonetype,сверкать ,,
,йăлкăштар,nonetype,сверкать ,,
,йăлтăр,nonetype,сверкать ,,
,йăлтăртат,nonetype,сверкать ,,
,йăлтлат,nonetype,сверкать ,,
,ялкăш,nonetype,сверкать ,,
,ялтăртат,nonetype,сверкать ,,
,кăвак çутăлла,nonetype,на заре ,,
,шуçăмла,nonetype,на заре ,,
,вĕçĕмсĕр,nonetype,непрерывно ,,
,таттисĕр,nonetype,непрерывно ,,
,тăран,nonetype,наедаться ,,
,тăрăн,nonetype,вонзаться ,,
,чикĕн,nonetype,вонзаться ,,
,тăтăш,nonetype,регулярно ,,
,телейлĕ,nonetype,удачливо ,,
,çĕнĕрен,nonetype,снова ,,
,каллех,noun,снова ,,
,тата,conjunction,снова ,,
,тепре,noun,снова ,,
,тĕпренчĕк,nonetype,крошево ,,
,вăйлат,nonetype,усиливать ,,
,тĕреклет,nonetype,усиливать ,,
,тĕшмĕш,nonetype,суеверный ,,
,тивĕçлĕ,nonetype,заслуженно ,,
,тивĕçлипе,nonetype,заслуженно ,,
,тулаш,nonetype,грызться ,,
,харкаш,nonetype,грызться ,,
,турат,nonetype,веточный ,,
,тÿ,nonetype,крошить ,,
,тура,verb,крошить ,,
,улăп,nonetype,улып ,,
,кăкăр,nonetype,грудной ,,
,ум,nonetype,грудной ,,
,чĕчĕ,nonetype,грудной ,,
,утарçă,nonetype,пчеловод ,,
,ÿркенчĕк,nonetype,лодырь ,,
,кахал,adjective,лодырь ,,
,туллы,nonetype,полный ,,
,ÿтлĕ,nonetype,полный ,,
,кÿпшек,nonetype,полный ,,
,мăнтăр,nonetype,полный ,,
,пĕр,nonetype,полный ,,
,самăр,nonetype,полный ,,
,тапчам,nonetype,полный ,,
,тулăх,nonetype,полный ,,
,тулли,adjective,полный ,,
,тутă хырăмпа,nonetype,полный ,,
,чăмăр,nonetype,полный ,,
,ăсталăх,nonetype,мастерство ,,
,ĕнер,nonetype,мастерство ,,
,маçтăрлăх,nonetype,мастерство ,,
,хайлав,nonetype,мастерство ,,
,хальлĕхе,nonetype,в настоящий момент ,,
,хартлат,nonetype,фырчать ,,
,çăрта,nonetype,ушко ,,
,хăлха,nonetype,ушко ,,
,хăмсар,nonetype,грозить ,,
,юна,nonetype,грозить ,,
,хăпар,nonetype,лезть ,,
,хăрушă,nonetype,жуткий ,,
,çăл,nonetype,избавлять ,,
,хăтар,nonetype,избавлять ,,
,херес,nonetype,крестный ,,
,хĕрхен,nonetype,жалеть ,,
,шелле,verb,жалеть ,,
,хĕç,nonetype,сабля ,,
,сабля,nonetype,сабля ,,
,хире-хирĕç,nonetype,взаимный ,,
,хисеп,noun,счет ,,
,хисте,verb,настаивать ,,
,хуйхăллă,nonetype,скорбный ,,
,сир,nonetype,раздвигать ,,
,сис,verb,чувствовать ,,
,туй,verb,чувствовать ,,
,йăмăхтар,nonetype,ослеплять ,,
,суккăрлат,nonetype,ослеплять ,,
,сулхăнла,nonetype,по прохладе ,,
,сÿт,nonetype,распарывать ,,
,сыхла,nonetype,оборонять ,,
,хÿтĕле,nonetype,оборонять ,,
,çаклат,nonetype,цеплять ,,
,çамрăклат,nonetype,молодить ,,
,çаппа-çарамас,nonetype,голышом ,,
,çара,nonetype,голышом ,,
,çарран,nonetype,босиком ,,
,çăкалăх,nonetype,липняк ,,
,çăхан,nonetype,ворон ,,
,ҫӗлен,noun,змея ,,
,çĕлен,nonetype,змея ,,
,çелен,nonetype,змея ,,
,çĕпре,nonetype,дрожжевой ,,
,çилĕ,nonetype,вымя ,,
,тумтир,noun,одежда ,,
,çипуç,nonetype,одежда ,,
,Тумтир,nonetype,одежда ,,
,тум,nonetype,одежда ,,
,çит,nonetype,доезжать ,,
,çук,nonetype,отсутствует ,,
,çунашка,nonetype,салазки ,,
,çуран,nonetype,пеший ,,
,çутă,nonetype,светлый ,,
,чакăр,nonetype,светлый ,,
,шурă,nonetype,светлый ,,
,çутăл,nonetype,рассветать ,,
,çырлах,nonetype,согласиться ,,
,ĕлĕкхи,nonetype,давний ,,
,тахçанхи,nonetype,давний ,,
,тăр,nonetype,останавливаться ,,
,тăрăн,nonetype,втыкаться ,,
,чикĕн,nonetype,втыкаться ,,
,çĕкле,nonetype,носить ,,
,йăт,nonetype,носить ,,
,йăтса çÿре,nonetype,носить ,,
,тăхăн,nonetype,носить ,,
,телейлĕ,nonetype,счастливо ,,
,тĕп,nonetype,подошва ,,
,тупан,nonetype,подошва ,,
,тĕрĕс,nonetype,объективно ,,
,тĕшĕр,nonetype,топтать ,,
,тапта,verb,топтать ,,
,тивĕçлĕ,nonetype,соответственно ,,
,тикĕт,nonetype,деготь ,,
,тулă,nonetype,пшеница ,,
,Тулă,nonetype,пшеница ,,
,тÿлевсĕр,nonetype,бесплатный ,,
,тыткăнла,nonetype,брать в плен ,,
,унсăрăн,nonetype,иначе ,,
,урăхла,nonetype,иначе ,,
,урăл,nonetype,отрезвляться ,,
,ÿпкеле,nonetype,упрекать ,,
,сăмахла,nonetype,упрекать ,,
,вăйă-кулă,nonetype,веселье ,,
,савăк,nonetype,веселье ,,
,савăнăç,nonetype,веселье ,,
,хаваслăх,nonetype,веселье ,,
,начарлат,nonetype,изнурять ,,
,хăшкăлтар,nonetype,изнурять ,,
,хавшат,nonetype,изнурять ,,
,халсăрлат,nonetype,изнурять ,,
,йăшăк,nonetype,больной ,,
,халсăр,nonetype,больной ,,
,чирлĕ,nonetype,больной ,,
,хăлхасăр,nonetype,безухий ,,
,хăмла,nonetype,хмелевой ,,
,йăрă,nonetype,живой ,,
,хăпăл-хапăл,nonetype,живой ,,
,чĕрĕ,nonetype,живой ,,
,типĕт,nonetype,засушивать ,,
,хăрт,nonetype,засушивать ,,
,хĕлле,nonetype,зимою ,,
,терт,noun,мучение ,,
,хĕн,nonetype,мучение ,,
,хурлăх,nonetype,мучение ,,
,йăмăхлан,nonetype,краснеть ,,
,писевлев,nonetype,краснеть ,,
,хĕмлен,nonetype,краснеть ,,
,хĕрел,nonetype,краснеть ,,
,хĕремеслен,nonetype,краснеть ,,
,хĕрÿлен,nonetype,горячиться ,,
,ĕрле,nonetype,принуждать ,,
,хĕсĕрле,nonetype,принуждать ,,
,хисте,verb,принуждать ,,
,хĕстер,nonetype,засовывать за что-л. ,,
,хирĕç,nonetype,навстречу ,,
,хисеп,nonetype,количественный ,,
,шут,nonetype,количественный ,,
,хунар,nonetype,фонарный ,,
,хупăлча,nonetype,футляр ,,
,хурçă,nonetype,сталь ,,
,хурҫӑ,noun,сталь ,,
,хуш,verb,добавлять ,,
,хыт,nonetype,становиться грубым ,,
,тайлăк,nonetype,наклонно ,,
,чалăш,nonetype,наклонно ,,
,урлă-пирлĕ,nonetype,вкривь и вкось ,,
,чалăш-тĕлĕш,nonetype,вкривь и вкось ,,
,чашлаттар,nonetype,сильно лить ,,
,чăмăрла,nonetype,крутой ,,
,чăнкă,nonetype,крутой ,,
,чăпар,nonetype,цветастый ,,
,пăшăрхантар,nonetype,беспокоить ,,
,чăрмантар,nonetype,беспокоить ,,
,чăх,nonetype,курица ,,
,чăха,nonetype,курица ,,
,черет,nonetype,черед ,,
,чĕлĕм,nonetype,трубка ,,
,чĕрĕк,nonetype,четверть ,,
,йăран,nonetype,межа ,,
,чикĕ,nonetype,межа ,,
,самай,nonetype,значительно ,,
,чылай,nonetype,значительно ,,
,чыссăр,nonetype,недостойный ,,
,тĕркĕш,nonetype,шумный ,,
,шавлă,nonetype,шумный ,,
,шайлаш,nonetype,уравновешиваться ,,
,шантар,nonetype,обнадеживать ,,
,хаплат,nonetype,хлопаться ,,
,шаплат,nonetype,хлопаться ,,
,харкашу,nonetype,перебранка ,,
,шăв-шав,nonetype,перебранка ,,
,шăнкăравла,nonetype,звонить ,,
,шăнкăртат,nonetype,звонить ,,
,шăнкăртаттар,nonetype,звонить ,,
,шăппăн,nonetype,бесшумно ,,
,ăшши,nonetype,жар ,,
,вĕри,nonetype,жар ,,
,кăвар,nonetype,жар ,,
,хĕм,nonetype,жар ,,
,хĕрÿ,nonetype,жар ,,
,шăрăх,nonetype,жар ,,
,ÿкĕн,nonetype,сожалеть ,,
,шелле,verb,сожалеть ,,
,шĕпĕн,nonetype,бородавка ,,
,шÿт,nonetype,острота ,,
,лайăх,nonetype,добрый ,,
,ырӑ,nonetype,добрый ,,
,ырă,nonetype,добрый ,,
,эпир,pronoun,мы ,,
,эпĕр,nonetype,мы ,,
,юрать,adjective,ладно ,,
,ялав,nonetype,знамя ,,
,яр,verb,пускать ,,
,ĕрле,nonetype,понуждать ,,
,хисте,verb,понуждать ,,
,хуйхăллă,nonetype,горестный ,,
,хулпуççи,nonetype,плечевой ,,
,варкăштар,nonetype,колебать ,,
,хумхат,nonetype,колебать ,,
,хурал,nonetype,стража ,,
,хуйхăрт,nonetype,печалить ,,
,хурлантар,verb,печалить ,,
,хÿме,nonetype,забор ,,
,хырăм,nonetype,желудочный ,,
,чакак,nonetype,сорочий ,,
,мухтав,nonetype,слава ,,
,чап,noun,слава ,,
,чыс,nonetype,слава ,,
,тирĕк,nonetype,чашка ,,
,чашăк,nonetype,чашка ,,
,чăмăрла,nonetype,вкрутую ,,
,тĕрĕслĕх,nonetype,правда ,,
,чăн,nonetype,правда ,,
,чăнлăх,nonetype,правда ,,
,тÿрккес,nonetype,невежливый ,,
,чăртмах,nonetype,невежливый ,,
,черетсĕр,nonetype,вне очереди ,,
,чĕмсĕр,nonetype,молчаливо ,,
,чĕр,nonetype,черкать ,,
,уяв чух,nonetype,в праздник ,,
,чыссăр,nonetype,недостойно ,,
,кĕмсĕртет,nonetype,тарахтеть ,,
,шалтăртат,nonetype,тарахтеть ,,
,шан,nonetype,доверять ,,
,пакăлтат,nonetype,журчать ,,
,шăнкăртат,nonetype,журчать ,,
,шарлат,nonetype,журчать ,,
,шăйрăк,nonetype,недочет ,,
,шăнкăрав,nonetype,бубенчик ,,
,шӑпчӑк,noun,соловей ,,
,шăпчăк,nonetype,соловей ,,
,вĕри,nonetype,жара ,,
,хĕрÿ,nonetype,жара ,,
,шăрăх,nonetype,жара ,,
,шăхăр,nonetype,свистать ,,
,шĕшкĕ,nonetype,орешник ,,
,шĕшке,nonetype,орешник ,,
,шукăль,nonetype,щегольский ,,
,шÿтле,nonetype,шутить ,,
,ывăç,nonetype,горсть ,,
,юрăçă,nonetype,певец ,,
,тикĕс,nonetype,гладко ,,
,яка,nonetype,гладко ,,
,сик,verb,прыгать ,,
,кул,nonetype,смеяться ,,
,кулма,nonetype,смеяться ,,
,курак,nonetype,грач ,,
,хура курак,nonetype,грач ,,
,бронеавтомобиль,nonetype,бронеавтомобиль ,,
,Бронеавтомобиль,nonetype,бронеавтомобиль ,,
,роттердам,nonetype,роттердам ,,
,Роттердам,nonetype,роттердам ,,
,Гастелло Николай Францевич,nonetype,Николай Францевич Гастелло ,,
,Хрущёв,proper,Хрущёв ,,
,крым тутарĕсен чĕлхи,proper,крымскотатарский язык ,,
,Крым тутарĕсен чĕлхи,nonetype,крымскотатарский язык ,,
,тытма çÿре,nonetype,охотиться ,,
,тытма??,nonetype,охотиться ,,
,Чех Республики,proper,Чехия ,,
,Чехи,nonetype,Чехия ,,
,Мускав облаçĕ,nonetype,Московская область ,,
,чӑваш,nonetype,Чувашский ,,
,Чăваш чěлхи,nonetype,Чувашский ,,
,чăваш чĕлхи,proper,Чувашский ,,
,Чӑваш,nonetype,Чувашский ,,
,Чӑвашла,nonetype,Чувашский ,,
,чăваш,nonetype,Чувашский ,,
,чăвашла,nonetype,Чувашский ,,
,чӑвашла,nonetype,Чувашский ,,
,монпелье,nonetype,монпелье ,,
,Курш сăмсахĕ,nonetype,Куршская коса ,,
,испан чĕлхи,proper,испанский язык ,,
,Испан чĕлхи,nonetype,испанский язык ,,
,нидерландсем,nonetype,нидерланды ,,
,Нидерландсем,nonetype,нидерланды ,,
,Нидерланды,nonetype,нидерланды ,,
,Хетчбэк,nonetype,хетчбэк ,,
,хетчбэк,nonetype,хетчбэк ,,
,филиппин,nonetype,филиппины ,,
,Филиппин,nonetype,филиппины ,,
,Чӑвашла,nonetype,филиппины ,,
,Гаага,proper,Гаага ,,
,журнал,noun,журнал ,,
,Журнал,nonetype,журнал ,,
,Житомир облаçĕ,nonetype,Житомирская область ,,
,Хурасан,nonetype,Хорасан ,,
,Джавид Гусейн,nonetype,Гусейн Джавид ,,
,стамбул,nonetype,стамбул ,,
,Стамбул,nonetype,стамбул ,,
,Тори,nonetype,торий ,,
,тори,nonetype,торий ,,
,Мускаври физикăпа техника институчĕ,nonetype,Московский физико-технический институт ,,
,шывуправ,nonetype,водохранилище ,,
,Шывуправ,nonetype,водохранилище ,,
,Паразитологи,nonetype,паразитология ,,
,паразитологи,nonetype,паразитология ,,
,Македони Республики,nonetype,Республика Македония ,,
,Чĕмпĕр,nonetype,Ульяновск ,,
,Метачěлхе,nonetype,Формальные системы ,,
,замби,nonetype,замбия ,,
,Хельсинки,nonetype,Хельсинки ,,
,хельсинки,nonetype,Хельсинки ,,
,Новиаль,nonetype,Новиаль ,,
,афганистан,nonetype,афганистан ,,
,Афганистан,proper,афганистан ,,
,меркури,nonetype,меркурий ,,
,Меркурий,proper,меркурий ,,
,индостан,nonetype,индостан ,,
,Индостан,nonetype,индостан ,,
,африка,nonetype,африка ,,
,Африка,nonetype,африка ,,
,сидней,nonetype,сидней ,,
,Сидней,nonetype,сидней ,,
,иллинойс,nonetype,иллинойс ,,
,Иллинойс,nonetype,иллинойс ,,
,Чеджу,nonetype,Чеджудо ,,
,-та,nonetype,у ,,
,-те,nonetype,у ,,
,электроника,noun,электроника ,,
,Электроника,nonetype,электроника ,,
,Электроника,nonetype,электроника ,,
,Долгопрудный,nonetype,Долгопрудный ,,
,мадрид,nonetype,мадрид ,,
,Мадрид,nonetype,мадрид ,,
,Садовничий Виктор Антонович,nonetype,Виктор Антонович Садовничий ,,
,Скирсем,nonetype,Скиры ,,
,Ў,nonetype,Ў ,,
,грамматика,noun,грамматика ,,
,Грамматика,nonetype,грамматика ,,
,Пĕтĕм тĕнчери хĕрарăмсен кунĕ,nonetype,Международный женский день ,,
,пуплев пайĕсем,nonetype,часть речи ,,
,Псоу,nonetype,Псоу ,,
,Белорус вокзалĕ,nonetype,Белорусский вокзал ,,
,Кашинка,nonetype,Кашинка ,,
,Чикмĕ,nonetype,Козьмодемьянск ,,
,кувейт,nonetype,кувейт ,,
,Кувейт,nonetype,кувейт ,,
,колхоз,noun,колхоз ,,
,ăсан,nonetype,тетерев-косач ,,
,çумăр,nonetype,дождь ,,
,ҫумӑр,noun,дождь ,,
,çăмăр,nonetype,дождь ,,
,Çумăр,nonetype,дождь ,,
,ҫӗрӗ,noun,кольцо ,,
,çĕрĕ,nonetype,кольцо ,,
,ункă,nonetype,кольцо ,,
,Çĕрĕ,nonetype,кольцо ,,
,Ункă,nonetype,кольцо ,,
,Панама,nonetype,Панама ,,
,панама,nonetype,Панама ,,
,польша,nonetype,польша ,,
,Польша,nonetype,польша ,,
,Селижар,nonetype,Селижаровка ,,
